pixel_id module_id pixel_number_in_module cumulative_anode_current average_anode_current
1728 19 4 1.682876e+01 9.919366e-06
1517 19 5 1.873838e+01 1.090842e-05
1632 19 6 1.700899e+01 9.994556e-06
1628 20 0 1.798631e+01 1.102040e-05
1513 20 1 1.054838e+01 6.300737e-06
1382 20 2 1.054067e+01 6.329686e-06
1514 20 3 1.688672e+01 1.033255e-05
1629 20 4 1.038730e+01 6.368479e-06
1383 20 5 1.046332e+01 6.761659e-06
1515 20 6 1.822875e+01 1.204041e-05
1511 21 0 1.844937e+01 1.117696e-05
1379 21 1 1.853971e+01 1.282482e-05
1254 21 2 9.852954e+00 6.554925e-06
1380 21 3 1.673088e+01 1.053716e-05
1512 21 4 1.722837e+01 1.029194e-05
1255 21 5 1.617808e+01 1.130912e-05
1381 21 6 1.849857e+01 1.197448e-05
1377 22 0 1.059982e+01 7.063848e-06
1251 22 1 1.862214e+01 1.204807e-05
1132 22 2 1.720837e+01 1.002562e-05
1252 22 3 1.784781e+01 1.146778e-05
1378 22 4 1.048964e+01 8.288626e-06
1133 22 5 1.954335e+01 1.152137e-05
1253 22 6 1.693449e+01 1.189994e-05
1249 23 0 1.116515e+01 7.867250e-06
1129 23 1 1.136637e+01 6.491780e-06
1016 23 2 9.808738e+00 5.569279e-06
1130 23 3 1.907128e+01 1.094006e-05
1250 23 4 1.051099e+01 6.576575e-06
1017 23 5 1.094391e+01 6.247037e-06
1131 23 6 1.771018e+01 1.013221e-05
1127 24 0 1.065774e+01 6.304902e-06
1013 24 1 1.875788e+01 1.085035e-05
906 24 2 1.063353e+01 6.070046e-06
1014 24 3 1.810832e+01 1.039818e-05
1128 24 4 1.040776e+01 5.930004e-06
907 24 5 1.070736e+01 6.137521e-06
1015 24 6 9.707837e+00 5.477255e-06
1011 25 0 1.785207e+01 1.066955e-05
903 25 1 1.582526e+01 9.451912e-06
802 25 2 9.919582e+00 6.352250e-06
904 25 3 8.952752e+00 5.245219e-06
1012 25 4 1.763018e+01 1.015751e-05
803 25 5 1.802205e+01 1.088875e-05
905 25 6 1.782808e+01 1.021073e-05
1008 26 0 2.003810e+01 1.264505e-05
1007 26 1 1.882566e+01 1.144248e-05
900 26 2 1.849728e+01 1.122644e-05
901 26 3 1.084706e+01 6.512007e-06
902 26 4 1.991591e+01 1.279518e-05
800 26 5 9.865440e+00 5.899163e-06
801 26 6 1.711330e+01 1.051360e-05
1237 27 0 1.088811e+01 7.147733e-06
1236 27 1 1.793495e+01 1.364641e-05
1117 27 2 9.956149e+00 7.100643e-06
1118 27 3 1.797982e+01 1.326758e-05
1119 27 4 1.003875e+01 6.288224e-06
1005 27 5 1.775178e+01 1.070995e-05
1006 27 6 1.017184e+01 5.990009e-06
1490 28 0 1.026440e+01 6.054560e-06
1489 28 1 1.973780e+01 1.199090e-05
1358 28 2 1.037613e+01 5.965747e-06
1359 28 3 1.898904e+01 1.102912e-05
1360 28 4 1.705512e+01 1.040313e-05
1234 28 5 1.865878e+01 1.066277e-05
1235 28 6 1.054292e+01 6.446993e-06
1705 29 0 1.777258e+01 1.078941e-05
1704 29 1 1.867445e+01 1.165374e-05
1604 29 2 1.736635e+01 1.047239e-05
1605 29 3 1.929340e+01 1.148499e-05
1606 29 4 1.037200e+01 6.213738e-06
1487 29 5 1.012041e+01 6.012178e-06
1488 29 6 1.759299e+01 1.024662e-05
1830 30 0 1.630711e+01 1.029627e-05
1829 30 1 1.646400e+01 1.000245e-05
1779 30 2 1.732586e+01 1.020230e-05
1780 30 3 1.744895e+01 1.066566e-05
1781 30 4 1.668212e+01 1.098733e-05
1702 30 5 1.664634e+01 9.932753e-06
1703 30 6 1.710026e+01 1.067112e-05
1518 31 0 1.914280e+01 1.108601e-05
